"Month","Division","Line","Day Type","Reporting Category","Incidents"
"2020-01-01","B DIVISION","D","1","Crew Availability","41"
"2020-01-01","B DIVISION","D","1","External Factors","4"
"2020-01-01","B DIVISION","D","1","Infrastructure & Equipment","49"
"2020-01-01","B DIVISION","D","1","Operating Conditions","124"
"2020-01-01","B DIVISION","D","1","Planned ROW Work","74"
"2020-01-01","B DIVISION","D","1","Police & Medical","60"
"2020-01-01","B DIVISION","D","2",,"0"
"2020-01-01","B DIVISION","D","2","Crew Availability","7"
"2020-01-01","B DIVISION","D","2","External Factors","1"
"2020-01-01","B DIVISION","D","2","Infrastructure & Equipment","17"
"2020-01-01","B DIVISION","D","2","Operating Conditions","36"
"2020-01-01","B DIVISION","D","2","Planned ROW Work","11"
"2020-01-01","B DIVISION","D","2","Police & Medical","18"
"2020-01-01","B DIVISION","E","1",,"0"
"2020-01-01","B DIVISION","E","1","Crew Availability","17"
"2020-01-01","B DIVISION","E","1","External Factors","0"
"2020-01-01","B DIVISION","E","1","Infrastructure & Equipment","24"
"2020-01-01","B DIVISION","E","1","Operating Conditions","105"
"2020-01-01","B DIVISION","E","1","Planned ROW Work","35"
"2020-01-01","B DIVISION","E","1","Police & Medical","48"
"2020-01-01","B DIVISION","E","2",,"0"
"2020-01-01","B DIVISION","E","2","Crew Availability","2"
"2020-01-01","B DIVISION","E","2","External Factors","0"
"2020-01-01","B DIVISION","E","2","Infrastructure & Equipment","5"
"2020-01-01","B DIVISION","E","2","Operating Conditions","6"
"2020-01-01","B DIVISION","E","2","Planned ROW Work","9"
"2020-01-01","B DIVISION","E","2","Police & Medical","11"
"2020-01-01","B DIVISION","F","1",,"0"
"2020-01-01","B DIVISION","F","1","Crew Availability","43"
"2020-01-01","B DIVISION","F","1","External Factors","1"
"2020-01-01","B DIVISION","F","1","Infrastructure & Equipment","47"
"2020-01-01","B DIVISION","F","1","Operating Conditions","84"
"2020-01-01","B DIVISION","F","1","Planned ROW Work","88"
"2020-01-01","B DIVISION","F","1","Police & Medical","61"
"2020-01-01","B DIVISION","F","2",,"0"
"2020-01-01","B DIVISION","F","2","Crew Availability","6"
"2020-01-01","B DIVISION","F","2","External Factors","0"
"2020-01-01","B DIVISION","F","2","Infrastructure & Equipment","12"
"2020-01-01","B DIVISION","F","2","Operating Conditions","26"
"2020-01-01","B DIVISION","F","2","Planned ROW Work","27"
"2020-01-01","B DIVISION","F","2","Police & Medical","13"
"2020-01-01","B DIVISION","G","1",,"0"
"2020-01-01","B DIVISION","G","1","Crew Availability","11"
"2020-01-01","B DIVISION","G","1","External Factors","0"
"2020-01-01","B DIVISION","G","1","Infrastructure & Equipment","35"
"2020-01-01","B DIVISION","G","1","Operating Conditions","151"
"2020-01-01","B DIVISION","G","1","Planned ROW Work","57"
"2020-01-01","B DIVISION","G","1","Police & Medical","18"
"2020-01-01","B DIVISION","G","2",,"0"
"2020-01-01","B DIVISION","G","2","Crew Availability","0"
"2020-01-01","B DIVISION","G","2","External Factors","0"
"2020-01-01","B DIVISION","G","2","Infrastructure & Equipment","10"
"2020-01-01","B DIVISION","G","2","Operating Conditions","41"
"2020-01-01","B DIVISION","G","2","Planned ROW Work","18"
"2020-01-01","B DIVISION","G","2","Police & Medical","12"
"2020-01-01","B DIVISION","JZ","1",,"0"
"2020-01-01","B DIVISION","JZ","1","Crew Availability","14"
"2020-01-01","B DIVISION","JZ","1","External Factors","2"
"2020-01-01","B DIVISION","JZ","1","Infrastructure & Equipment","35"
"2020-01-01","B DIVISION","JZ","1","Operating Conditions","109"
"2020-01-01","B DIVISION","JZ","1","Planned ROW Work","35"
"2020-01-01","B DIVISION","JZ","1","Police & Medical","43"
"2020-01-01","B DIVISION","JZ","2",,"0"
"2020-01-01","B DIVISION","JZ","2","Crew Availability","6"
"2020-01-01","B DIVISION","JZ","2","External Factors","0"
"2020-01-01","B DIVISION","JZ","2","Infrastructure & Equipment","9"
"2020-01-01","B DIVISION","JZ","2","Operating Conditions","28"
"2020-01-01","B DIVISION","JZ","2","Planned ROW Work","12"
"2020-01-01","B DIVISION","JZ","2","Police & Medical","9"
"2020-01-01","B DIVISION","L","1",,"0"
"2020-01-01","B DIVISION","L","1","Crew Availability","7"
"2020-01-01","B DIVISION","L","1","External Factors","1"
"2020-01-01","B DIVISION","L","1","Infrastructure & Equipment","28"
"2020-01-01","B DIVISION","L","1","Operating Conditions","12"
"2020-01-01","B DIVISION","L","1","Planned ROW Work","42"
"2020-01-01","B DIVISION","L","1","Police & Medical","20"
