"month","division","line","day_type","period","num_timepoints_passing_wait _assessment","num_sched_timepoints","wait assessment"
"2015-07-01","B DIVISION","C","2","offpeak","2,405","3,063","78.517793%"
"2015-07-01","B DIVISION","C","1","peak","5,541","7,162","77.3666574%"
"2015-07-01","B DIVISION","C","2","peak","1,384","1,680","82.3809524%"
"2015-07-01","B DIVISION","D","1","offpeak","11,724","14,320","81.8715084%"
"2015-07-01","B DIVISION","D","2","offpeak","3,572","4,398","81.2187358%"
"2015-07-01","B DIVISION","D","1","peak","7,297","9,428","77.397115%"
"2015-07-01","B DIVISION","D","2","peak","1,886","2,226","84.7259659%"
"2015-07-01","B DIVISION","E","1","offpeak","10,846","14,720","73.6820652%"
"2015-07-01","B DIVISION","E","2","offpeak","2,725","3,320","82.0783133%"
"2015-07-01","B DIVISION","E","1","peak","7,631","11,160","68.3781362%"
"2015-07-01","B DIVISION","E","2","peak","1,437","1,707","84.1827768%"
"2015-07-01","B DIVISION","F","1","offpeak","17,616","23,144","76.1147598%"
"2015-07-01","B DIVISION","F","2","offpeak","3,706","4,502","82.3189693%"
"2015-07-01","B DIVISION","F","1","peak","12,298","17,031","72.2095003%"
"2015-07-01","B DIVISION","F","2","peak","1,871","2,257","82.8976518%"
"2015-07-01","B DIVISION","G","1","offpeak","5,932","6,885","86.1583152%"
"2015-07-01","B DIVISION","G","2","offpeak","1,673","1,849","90.4813413%"
"2015-07-01","B DIVISION","G","1","peak","3,441","4,249","80.9837609%"
"2015-07-01","B DIVISION","G","2","peak","925","981","94.2915392%"
"2015-07-01","B DIVISION","JZ","1","offpeak","8,717","10,708","81.4064251%"
"2015-07-01","B DIVISION","JZ","2","offpeak","3,448","3,735","92.3159304%"
"2015-07-01","B DIVISION","JZ","1","peak","5,707","7,298","78.1995067%"
"2015-07-01","B DIVISION","JZ","2","peak","1,878","2,034","92.3303835%"
"2015-07-01","B DIVISION","L","1","offpeak","18,432","23,551","78.2641926%"
"2015-07-01","B DIVISION","L","2","offpeak","4,803","6,474","74.1890639%"
"2015-07-01","B DIVISION","L","1","peak","11,503","15,113","76.11328%"
"2015-07-01","B DIVISION","L","2","peak","2,333","2,833","82.3508648%"
"2015-07-01","B DIVISION","M","1","offpeak","12,509","15,969","78.3330202%"
"2015-07-01","B DIVISION","M","2","offpeak","2,120","2,300","92.173913%"
"2015-07-01","B DIVISION","M","1","peak","7,408","9,987","74.1764294%"
"2015-07-01","B DIVISION","M","2","peak","1,147","1,237","92.7243331%"
"2015-07-01","B DIVISION","N","1","offpeak","13,862","17,443","79.4702746%"
"2015-07-01","B DIVISION","N","2","offpeak","4,377","5,625","77.8133333%"
"2015-07-01","B DIVISION","N","1","peak","8,082","10,498","76.9860926%"
