"month","division","line","day_type","num_on_time_trips","num_sched_trips","terminal_on_time_performance"
"2016-06-01","B DIVISION","JZ","1","4,257","6,091","69.8900016%"
"2016-06-01","B DIVISION","L","1","10,126","11,110","91.1431143%"
"2016-06-01","B DIVISION","M","1","4,165","5,924","70.3072248%"
"2016-06-01","B DIVISION","N","1","3,670","5,876","62.4574541%"
"2016-06-01","B DIVISION","Q","1","4,125","5,892","70.0101833%"
"2016-06-01","B DIVISION","R","1","3,755","6,248","60.0992318%"
"2016-06-01","B DIVISION","S Fkln","1","2,595","2,596","99.9614792%"
"2016-06-01","B DIVISION","S Rock","1","1,701","1,845","92.195122%"
"2016-07-01","A DIVISION","1","1","6,823","8,965","76.1070831%"
"2016-07-01","A DIVISION","2","1","1,808","6,248","28.9372599%"
"2016-07-01","A DIVISION","3","1","3,340","5,999","55.675946%"
"2016-07-01","A DIVISION","4","1","2,575","7,311","35.2209%"
"2016-07-01","A DIVISION","5","1","2,496","6,459","38.6437529%"
"2016-07-01","A DIVISION","6","1","5,203","10,913","47.6770824%"
"2016-07-01","A DIVISION","7","1","9,730","12,369","78.6644029%"
"2016-07-01","A DIVISION","S 42nd","1","11,729","11,953","98.1259935%"
"2016-07-01","B DIVISION","A","1","4,529","7,241","62.5466096%"
"2016-07-01","B DIVISION","B","1","2,846","4,073","69.8747852%"
"2016-07-01","B DIVISION","C","1","2,680","3,943","67.9685519%"
"2016-07-01","B DIVISION","D","1","3,477","5,217","66.6474986%"
"2016-07-01","B DIVISION","E","1","5,147","7,765","66.2846104%"
"2016-07-01","B DIVISION","F","1","4,274","7,478","57.1543193%"
"2016-07-01","B DIVISION","G","1","5,340","6,282","85.0047755%"
"2016-07-01","B DIVISION","JZ","1","3,548","5,483","64.7091009%"
"2016-07-01","B DIVISION","L","1","8,664","9,913","87.4003833%"
"2016-07-01","B DIVISION","M","1","3,690","5,342","69.0752527%"
"2016-07-01","B DIVISION","N","1","3,393","5,464","62.0973646%"
"2016-07-01","B DIVISION","Q","1","3,602","5,260","68.4790875%"
"2016-07-01","B DIVISION","R","1","3,243","5,658","57.3170732%"
"2016-07-01","B DIVISION","S Fkln","1","2,295","2,318","99.0077653%"
"2016-07-01","B DIVISION","S Rock","1","1,584","1,671","94.7935368%"
"2016-08-01","A DIVISION","1","1","7,918","10,519","75.273315%"
"2016-08-01","A DIVISION","2","1","2,598","7,370","35.2510176%"
"2016-08-01","A DIVISION","3","1","3,837","6,954","55.1768766%"
"2016-08-01","A DIVISION","4","1","3,549","8,541","41.5525114%"
"2016-08-01","A DIVISION","5","1","2,908","7,562","38.4554351%"
"2016-08-01","A DIVISION","6","1","7,342","13,066","56.1916424%"
"2016-08-01","A DIVISION","7","1","11,604","14,281","81.2548141%"
"2016-08-01","A DIVISION","S 42nd","1","14,432","14,597","98.8696307%"
"2016-08-01","B DIVISION","A","1","5,586","8,487","65.8183104%"
"2016-08-01","B DIVISION","B","1","3,415","4,738","72.0768257%"
"2016-08-01","B DIVISION","C","1","3,363","4,600","73.1086957%"
"2016-08-01","B DIVISION","D","1","4,159","6,072","68.4947299%"
"2016-08-01","B DIVISION","E","1","6,431","9,175","70.0926431%"
"2016-08-01","B DIVISION","F","1","5,392","8,751","61.6158153%"
"2016-08-01","B DIVISION","G","1","5,352","6,478","82.618092%"
"2016-08-01","B DIVISION","JZ","1","4,047","6,417","63.0668537%"
